Jahr,Quartier,Zimmeranzahl,MedianPreis,PreisProQm,Zimmeranzahl_num,MedianPreis_Baualter,Durchschnitt_Baujahr,Preis_Verhältnis,Quartier_Preisniveau,Quartier_Code
2024,Kreis 4,1-Zimmer,760000.0,21714.0,1,810500.0,0.0,0.9376927822331894,1.4138582790766154,23
2024,Kreis 4,2-Zimmer,676000.0,10957.0,2,1132250.0,0.0,0.5970412894678737,1.4138582790766154,23
2024,Kreis 4,3-Zimmer,1792500.0,20693.0,3,1606355.0,0.0,1.1158803626844627,1.4138582790766154,23
2024,Kreis 4,4-Zimmer,2380000.0,20536.0,4,1976250.0,0.0,1.2043010752688172,1.4138582790766154,23
2024,Kreis 4,5-Zimmer,2297500.0,12376.0,5,2454583.3333333335,0.0,0.9360040740112034,1.4138582790766154,23
2024,Kreis 4,6-Zimmer und mehr,6014000.0,19654.0,6,3038774.0,0.0,1.979087618888407,1.4138582790766154,23
2024,Werd,1-Zimmer,0.0,0.0,1,810500.0,0.0,0.0,0.4667154304854201,43
2024,Werd,2-Zimmer,0.0,0.0,2,1132250.0,0.0,0.0,0.4667154304854201,43
2024,Werd,3-Zimmer,2215000.0,21095.0,3,1606355.0,0.0,1.3788981887565326,0.4667154304854201,43
2024,Werd,4-Zimmer,2380000.0,20536.0,4,1976250.0,0.0,1.2043010752688172,0.4667154304854201,43
2024,Werd,5-Zimmer,0.0,0.0,5,2454583.3333333335,0.0,0.0,0.4667154304854201,43
2024,Werd,6-Zimmer und mehr,0.0,0.0,6,3038774.0,0.0,0.0,0.4667154304854201,43
2024,Langstrasse,1-Zimmer,755000.0,21571.0,1,810500.0,0.0,0.9315237507711289,1.4647957738292678,29
2024,Langstrasse,2-Zimmer,1005000.0,12510.5,2,1132250.0,0.0,0.8876131596378891,1.4647957738292678,29
2024,Langstrasse,3-Zimmer,1550000.0,18025.0,3,1606355.0,0.0,0.9649174684300793,1.4647957738292678,29
2024,Langstrasse,4-Zimmer,2800000.0,25000.0,4,1976250.0,0.0,1.4168247944339025,1.4647957738292678,29
2024,Langstrasse,5-Zimmer,2297500.0,12376.0,5,2454583.3333333335,0.0,0.9360040740112034,1.4647957738292678,29
2024,Langstrasse,6-Zimmer und mehr,6014000.0,19654.0,6,3038774.0,0.0,1.979087618888407,1.4647957738292678,29
2024,Hard,1-Zimmer,970000.0,33448.0,1,810500.0,0.0,1.1967921036397287,0.35397242116250033,11
2024,Hard,2-Zimmer,515000.0,9884.0,2,1132250.0,0.0,0.4548465444910576,0.35397242116250033,11
2024,Hard,3-Zimmer,650000.0,9026.0,3,1606355.0,0.0,0.40464280934164615,0.35397242116250033,11
2024,Hard,4-Zimmer,1350000.0,14211.0,4,1976250.0,0.0,0.683111954459203,0.35397242116250033,11
2024,Hard,5-Zimmer,0.0,0.0,5,2454583.3333333335,0.0,0.0,0.35397242116250033,11
2024,Hard,6-Zimmer und mehr,0.0,0.0,6,3038774.0,0.0,0.0,0.35397242116250033,11
2024,Kreis 5,1-Zimmer,610000.0,15641.0,1,810500.0,0.0,0.7526218383713756,1.4733789702282167,24
2024,Kreis 5,2-Zimmer,1375000.0,20123.0,2,1132250.0,0.0,1.2143961139324355,1.4733789702282167,24
2024,Kreis 5,3-Zimmer,1960000.0,18860.0,3,1606355.0,0.0,1.2201537020148099,1.4733789702282167,24
2024,Kreis 5,4-Zimmer,3900000.0,20584.0,4,1976250.0,0.0,1.9734345351043643,1.4733789702282167,24
2024,Kreis 5,5-Zimmer,2870000.0,13761.0,5,2454583.3333333335,0.0,1.1692412154133422,1.4733789702282167,24
2024,Kreis 5,6-Zimmer und mehr,3791005.0,11937.0,6,3038774.0,0.0,1.247544239880952,1.4733789702282167,24
2024,Gewerbeschule,1-Zimmer,593490.0,14011.0,1,810500.0,0.0,0.7322516964836521,0.6846090708007296,10
2024,Gewerbeschule,2-Zimmer,995000.0,15247.0,2,1132250.0,0.0,0.8787811879001988,0.6846090708007296,10
2024,Gewerbeschule,3-Zimmer,723010.0,12381.0,3,1606355.0,0.0,0.45009353474169783,0.6846090708007296,10
2024,Gewerbeschule,4-Zimmer,981250.0,8506.0,4,1976250.0,0.0,0.4965211891208096,0.6846090708007296,10
2024,Gewerbeschule,5-Zimmer,2107500.0,9802.5,5,2454583.3333333335,0.0,0.8585978611441181,0.6846090708007296,10
2024,Gewerbeschule,6-Zimmer und mehr,1340000.0,7053.0,6,3038774.0,0.0,0.4409673111590398,0.6846090708007296,10
2024,Escher Wyss,1-Zimmer,865000.0,20116.0,1,810500.0,0.0,1.0672424429364589,1.85487744476149,6
2024,Escher Wyss,2-Zimmer,1630000.0,21875.0,2,1132250.0,0.0,1.4396113932435417,1.85487744476149,6
2024,Escher Wyss,3-Zimmer,1970000.0,19053.0,3,1606355.0,0.0,1.2263789760046815,1.85487744476149,6
2024,Escher Wyss,4-Zimmer,3900000.0,20584.0,4,1976250.0,0.0,1.9734345351043643,1.85487744476149,6
2024,Escher Wyss,5-Zimmer,3655000.0,16059.0,5,2454583.3333333335,0.0,1.489051094890511,1.85487744476149,6
2024,Escher Wyss,6-Zimmer und mehr,6242010.0,16821.0,6,3038774.0,0.0,2.054121168602864,1.85487744476149,6
2024,Kreis 6,1-Zimmer,547500.0,20750.0,1,810500.0,0.0,0.67550894509562,1.1661161809687595,25
2024,Kreis 6,2-Zimmer,900000.0,15500.0,2,1132250.0,0.0,0.7948774563921396,1.1661161809687595,25
2024,Kreis 6,3-Zimmer,1878380.0,19982.0,3,1606355.0,0.0,1.1693430157094789,1.1661161809687595,25
2024,Kreis 6,4-Zimmer,2435000.0,20250.0,4,1976250.0,0.0,1.2321315623023403,1.1661161809687595,25
2024,Kreis 6,5-Zimmer,2750000.0,18230.0,5,2454583.3333333335,0.0,1.1203530809709725,1.1661161809687595,25
2024,Kreis 6,6-Zimmer und mehr,2970000.0,15968.0,6,3038774.0,0.0,0.9773678463748867,1.1661161809687595,25
2024,Unterstrass,1-Zimmer,495000.0,16500.0,1,810500.0,0.0,0.6107341147439852,1.1869502765294058,41
2024,Unterstrass,2-Zimmer,775000.0,15500.0,2,1132250.0,0.0,0.684477809671009,1.1869502765294058,41
2024,Unterstrass,3-Zimmer,2096000.0,21429.0,3,1606355.0,0.0,1.3048174282770622,1.1869502765294058,41
2024,Unterstrass,4-Zimmer,2600000.0,18667.0,4,1976250.0,0.0,1.3156230234029096,1.1869502765294058,41
2024,Unterstrass,5-Zimmer,2750000.0,17188.0,5,2454583.3333333335,0.0,1.1203530809709725,1.1869502765294058,41
2024,Unterstrass,6-Zimmer und mehr,2970000.0,15968.0,6,3038774.0,0.0,0.9773678463748867,1.1869502765294058,41
2024,Oberstrass,1-Zimmer,600000.0,25000.0,1,810500.0,0.0,0.7402837754472548,1.1702673582579737,33
2024,Oberstrass,2-Zimmer,1250000.0,16679.0,2,1132250.0,0.0,1.103996467211305,1.1702673582579737,33
2024,Oberstrass,3-Zimmer,1806750.0,19663.0,3,1606355.0,0.0,1.1247513781200296,1.1702673582579737,33
2024,Oberstrass,4-Zimmer,2425000.0,21272.0,4,1976250.0,0.0,1.2270714737507906,1.1702673582579737,33
2024,Oberstrass,5-Zimmer,2750000.0,20370.0,5,2454583.3333333335,0.0,1.1203530809709725,1.1702673582579737,33
2024,Oberstrass,6-Zimmer und mehr,2690000.0,15669.0,6,3038774.0,0.0,0.8852254231476246,1.1702673582579737,33
2024,Kreis 7,1-Zimmer,680000.0,11525.0,1,810500.0,0.0,0.8389882788402221,1.0765362736963728,26
2024,Kreis 7,2-Zimmer,1168180.0,20714.0,2,1132250.0,0.0,1.0317332744535217,1.0765362736963728,26
2024,Kreis 7,3-Zimmer,1350000.0,16667.0,3,1606355.0,0.0,0.8404119886326497,1.0765362736963728,26
2024,Kreis 7,4-Zimmer,2120000.0,19913.0,4,1976250.0,0.0,1.0727387729285263,1.0765362736963728,26
2024,Kreis 7,5-Zimmer,2570000.0,19667.0,5,2454583.3333333335,0.0,1.047020879307418,1.0765362736963728,26
2024,Kreis 7,6-Zimmer und mehr,2710750.0,17664.0,6,3038774.0,0.0,0.8920538348689306,1.0765362736963728,26
2024,Fluntern,1-Zimmer,726500.0,9773.0,1,810500.0,0.0,0.8963602714373843,1.3990798035302325,7
2024,Fluntern,2-Zimmer,1715000.0,30625.0,2,1132250.0,0.0,1.5146831530139104,1.3990798035302325,7
2024,Fluntern,3-Zimmer,2395000.0,23713.0,3,1606355.0,0.0,1.4909531205742192,1.3990798035302325,7
2024,Fluntern,4-Zimmer,2200000.0,18393.0,4,1976250.0,0.0,1.1132194813409235,1.3990798035302325,7
2024,Fluntern,5-Zimmer,2388000.0,18656.0,5,2454583.3333333335,0.0,0.9728738754031573,1.3990798035302325,7
2024,Fluntern,6-Zimmer und mehr,4350000.0,19079.0,6,3038774.0,0.0,1.4314983608521068,1.3990798035302325,7
2024,Hottingen,1-Zimmer,616000.0,16803.0,1,810500.0,0.0,0.7600246761258482,1.4312745347600397,15
2024,Hottingen,2-Zimmer,900000.0,20714.0,2,1132250.0,0.0,0.7948774563921396,1.4312745347600397,15
2024,Hottingen,3-Zimmer,2431000.0,22119.0,3,1606355.0,0.0,1.5133641069377566,1.4312745347600397,15
2024,Hottingen,4-Zimmer,2307970.0,22964.0,4,1976250.0,0.0,1.167853257432005,1.4312745347600397,15
2024,Hottingen,5-Zimmer,4530000.0,22500.0,5,2454583.3333333335,0.0,1.8455270751994566,1.4312745347600397,15
2024,Hottingen,6-Zimmer und mehr,3306500.0,25298.0,6,3038774.0,0.0,1.0881032942890785,1.4312745347600397,15
2024,Hirslanden,1-Zimmer,1092500.0,19337.5,1,810500.0,0.0,1.3479333744602098,1.246013393575602,12
2024,Hirslanden,2-Zimmer,1002500.0,15357.0,2,1132250.0,0.0,0.8854051667034666,1.246013393575602,12
2024,Hirslanden,3-Zimmer,1690000.0,22533.0,3,1606355.0,0.0,1.0520713042882799,1.246013393575602,12
2024,Hirslanden,4-Zimmer,2282500.0,22923.0,4,1976250.0,0.0,1.1549652118912082,1.246013393575602,12
2024,Hirslanden,5-Zimmer,3200000.0,22857.0,5,2454583.3333333335,0.0,1.303683585129859,1.246013393575602,12
2024,Hirslanden,6-Zimmer und mehr,3000000.0,16270.0,6,3038774.0,0.0,0.9872402488635219,1.246013393575602,12
2024,Witikon,1-Zimmer,725000.0,16477.0,1,810500.0,0.0,0.8945095619987662,0.9273752409565766,45
2024,Witikon,2-Zimmer,1443180.0,20531.0,2,1132250.0,0.0,1.2746124972400088,0.9273752409565766,45
2024,Witikon,3-Zimmer,1250000.0,14715.0,3,1606355.0,0.0,0.7781592487339349,0.9273752409565766,45
2024,Witikon,4-Zimmer,1679700.0,15770.0,4,1976250.0,0.0,0.8499430740037951,0.9273752409565766,45
2024,Witikon,5-Zimmer,2000000.0,16304.0,5,2454583.3333333335,0.0,0.8148022407061619,0.9273752409565766,45
2024,Witikon,6-Zimmer und mehr,2032500.0,14382.0,6,3038774.0,0.0,0.6688552686050361,0.9273752409565766,45
2024,Kreis 8,1-Zimmer,775000.0,16015.0,1,810500.0,0.0,0.9561998766193708,1.4490015954961921,27
2024,Kreis 8,2-Zimmer,1640000.0,26288.0,2,1132250.0,0.0,1.448443364981232,1.4490015954961921,27
2024,Kreis 8,3-Zimmer,1560000.0,21860.0,3,1606355.0,0.0,0.9711427424199508,1.4490015954961921,27
2024,Kreis 8,4-Zimmer,2921000.0,22292.0,4,1976250.0,0.0,1.4780518659076534,1.4490015954961921,27
2024,Kreis 8,5-Zimmer,2533000.0,15352.0,5,2454583.3333333335,0.0,1.031947037854354,1.4490015954961921,27
2024,Kreis 8,6-Zimmer und mehr,4837000.0,30421.0,6,3038774.0,0.0,1.5917603612509519,1.4490015954961921,27
2024,Seefeld,1-Zimmer,750000.0,24194.0,1,810500.0,0.0,0.9253547193090684,1.0248441117732077,39
2024,Seefeld,2-Zimmer,1240000.0,15500.0,2,1132250.0,0.0,1.0951644954736144,1.0248441117732077,39
