Jahr,Quartier,Zimmeranzahl,MedianPreis,PreisProQm,Zimmeranzahl_num
2010,Lindenhof,1-Zimmer,425000.0,7083.0,1
2010,Lindenhof,2-Zimmer,595000.0,10625.0,2
2010,Lindenhof,3-Zimmer,1800000.0,20000.0,3
2010,Lindenhof,4-Zimmer,1940350.0,19554.0,4
2010,Lindenhof,5-Zimmer,2225000.0,16985.0,5
2010,Lindenhof,6-Zimmer und mehr,0.0,0.0,6
2010,City,1-Zimmer,0.0,0.0,1
2010,City,2-Zimmer,0.0,0.0,2
2010,City,3-Zimmer,1500000.0,11450.0,3
2010,City,4-Zimmer,1600000.0,13600.0,4
2010,City,5-Zimmer,393710.0,2642.0,5
2010,City,6-Zimmer und mehr,0.0,0.0,6
2010,Kreis 2,1-Zimmer,394610.0,12800.0,1
2010,Kreis 2,2-Zimmer,900000.0,10941.0,2
2010,Kreis 2,3-Zimmer,950000.0,10189.0,3
2010,Kreis 2,4-Zimmer,779340.0,4531.0,4
2010,Kreis 2,5-Zimmer,1375000.0,9947.0,5
2010,Kreis 2,6-Zimmer und mehr,841770.0,4270.0,6
2010,Wollishofen,1-Zimmer,394610.0,12434.0,1
2010,Wollishofen,2-Zimmer,915000.0,11392.0,2
2010,Wollishofen,3-Zimmer,975000.0,10189.0,3
2010,Wollishofen,4-Zimmer,714820.0,4465.0,4
2010,Wollishofen,5-Zimmer,1100000.0,7432.0,5
2010,Wollishofen,6-Zimmer und mehr,841770.0,4270.0,6
2010,Leimbach,1-Zimmer,0.0,0.0,1
2010,Leimbach,2-Zimmer,635590.0,9057.0,2
2010,Leimbach,3-Zimmer,630000.0,6563.0,3
2010,Leimbach,4-Zimmer,1000000.0,9460.0,4
2010,Leimbach,5-Zimmer,1485000.0,10771.0,5
2010,Leimbach,6-Zimmer und mehr,1210000.0,7129.5,6
2010,Enge,1-Zimmer,1010000.0,14900.0,1
2010,Enge,2-Zimmer,507000.0,9054.0,2
2010,Enge,3-Zimmer,1050000.0,10747.0,3
2010,Enge,4-Zimmer,1820000.0,18020.0,4
2010,Enge,5-Zimmer,1400000.0,10305.0,5
2010,Enge,6-Zimmer und mehr,3100000.0,15682.0,6
2010,Kreis 3,1-Zimmer,295000.0,11072.0,1
2010,Kreis 3,2-Zimmer,700000.0,7917.0,2
2010,Kreis 3,3-Zimmer,847500.0,7806.0,3
2010,Kreis 3,4-Zimmer,980000.0,7911.0,4
2010,Kreis 3,5-Zimmer,1180000.0,8589.0,5
2010,Kreis 3,6-Zimmer und mehr,1040000.0,5101.0,6
2010,Alt-Wiedikon,1-Zimmer,295000.0,7195.0,1
2010,Alt-Wiedikon,2-Zimmer,670000.0,7660.0,2
2010,Alt-Wiedikon,3-Zimmer,847500.0,7761.0,3
2010,Alt-Wiedikon,4-Zimmer,977500.0,7882.0,4
2010,Alt-Wiedikon,5-Zimmer,1195000.0,8633.0,5
2010,Alt-Wiedikon,6-Zimmer und mehr,1040000.0,5101.0,6
2010,Friesenberg,1-Zimmer,375000.0,12660.0,1
2010,Friesenberg,2-Zimmer,815000.0,10867.0,2
2010,Friesenberg,3-Zimmer,790000.0,10395.0,3
2010,Friesenberg,4-Zimmer,870000.0,8431.0,4
2010,Friesenberg,5-Zimmer,1050000.0,8015.0,5
2010,Friesenberg,6-Zimmer und mehr,0.0,0.0,6
2010,Sihlfeld,1-Zimmer,316670.0,11072.0,1
2010,Sihlfeld,2-Zimmer,675000.0,11607.0,2
2010,Sihlfeld,3-Zimmer,846220.0,9724.0,3
2010,Sihlfeld,4-Zimmer,1700000.0,8416.0,4
2010,Sihlfeld,5-Zimmer,550000.0,4198.0,5
2010,Sihlfeld,6-Zimmer und mehr,2990000.0,12723.0,6
2010,Kreis 4,1-Zimmer,210000.0,7241.0,1
2010,Kreis 4,2-Zimmer,239270.0,3950.0,2
2010,Kreis 4,3-Zimmer,720000.0,9594.0,3
2010,Kreis 4,4-Zimmer,700000.0,7197.0,4
2010,Kreis 4,5-Zimmer,1340000.0,10152.0,5
2010,Kreis 4,6-Zimmer und mehr,6014000.0,19654.0,6
2010,Werd,1-Zimmer,0.0,0.0,1
2010,Werd,2-Zimmer,0.0,0.0,2
2010,Werd,3-Zimmer,1283750.0,16045.5,3
2010,Werd,4-Zimmer,465000.0,7266.0,4
2010,Werd,5-Zimmer,0.0,0.0,5
2010,Werd,6-Zimmer und mehr,0.0,0.0,6
2010,Langstrasse,1-Zimmer,370000.0,11024.0,1
2010,Langstrasse,2-Zimmer,239270.0,3950.0,2
2010,Langstrasse,3-Zimmer,720000.0,9594.0,3
2010,Langstrasse,4-Zimmer,769000.0,7614.0,4
2010,Langstrasse,5-Zimmer,1340000.0,10152.0,5
2010,Langstrasse,6-Zimmer und mehr,6014000.0,19654.0,6
2010,Hard,1-Zimmer,210000.0,7241.0,1
2010,Hard,2-Zimmer,515000.0,9884.0,2
2010,Hard,3-Zimmer,650000.0,9026.0,3
2010,Hard,4-Zimmer,455000.0,4550.0,4
2010,Hard,5-Zimmer,0.0,0.0,5
2010,Hard,6-Zimmer und mehr,0.0,0.0,6
2010,Kreis 5,1-Zimmer,1300000.0,10153.0,1
