Jahr,Baualter,Zimmeranzahl,MedianPreis,PreisProQm,Zimmeranzahl_num,Baujahr
2014,10–19 Jahre,2-Zimmer,610500,8942,2,
2014,Altbauten (umgebaut),2-Zimmer,629000,11857,2,
2014,Altbauten (nicht umgebaut),2-Zimmer,538300,8966,2,
2014,Total,2-Zimmer,910000,11420,2,
2014,Neubauten (0–1 Jahre),3-Zimmer,1185000,11550,3,
2014,2–9 Jahre,3-Zimmer,1030000,10638,3,
2014,10–19 Jahre,3-Zimmer,732500,7723,3,
2014,Altbauten (umgebaut),3-Zimmer,730000,10603,3,
2014,Altbauten (nicht umgebaut),3-Zimmer,685000,8429,3,
2014,Total,3-Zimmer,1060000,10703,3,
2014,Neubauten (0–1 Jahre),4-Zimmer,1360000,10678,4,
2014,2–9 Jahre,4-Zimmer,1300000,10392,4,
2014,10–19 Jahre,4-Zimmer,1860000,12553,4,
2014,Altbauten (umgebaut),4-Zimmer,1558000,12963,4,
2014,Altbauten (nicht umgebaut),4-Zimmer,950000,8673,4,
2014,Total,4-Zimmer,1263000,10675,4,
2014,Neubauten (0–1 Jahre),5-Zimmer,1545500,9739,5,
2014,2–9 Jahre,5-Zimmer,1700000,10828,5,
2014,10–19 Jahre,5-Zimmer,2235000,14018,5,
2014,Altbauten (umgebaut),5-Zimmer,1690050,10202,5,
2014,Altbauten (nicht umgebaut),5-Zimmer,1370000,11170,5,
2014,Total,5-Zimmer,1720090,11170,5,
2014,Neubauten (0–1 Jahre),6-Zimmer und mehr,2230000,12528,6,
2014,2–9 Jahre,6-Zimmer und mehr,3450000,13831,6,
2014,10–19 Jahre,6-Zimmer und mehr,2360000,12967,6,
2014,Altbauten (nicht umgebaut),6-Zimmer und mehr,1990000,11569,6,
2014,Total,6-Zimmer und mehr,2267500,12133,6,
2015,Neubauten (0–1 Jahre),1-Zimmer,495000,7071,1,
2015,Altbauten (umgebaut),1-Zimmer,800000,10308,1,
2015,Altbauten (nicht umgebaut),1-Zimmer,232000,8276,1,
2015,Total,1-Zimmer,470000,10000,1,
2015,Neubauten (0–1 Jahre),2-Zimmer,824070,11346,2,
2015,2–9 Jahre,2-Zimmer,1465000,14711,2,
2015,10–19 Jahre,2-Zimmer,681500,12085,2,
2015,Altbauten (umgebaut),2-Zimmer,530000,9906,2,
2015,Altbauten (nicht umgebaut),2-Zimmer,450000,8481,2,
2015,Total,2-Zimmer,755000,10835,2,
2015,Neubauten (0–1 Jahre),3-Zimmer,1195000,11400,3,
2015,2–9 Jahre,3-Zimmer,1195000,11247,3,
2015,10–19 Jahre,3-Zimmer,1085000,10236,3,
2015,Altbauten (umgebaut),3-Zimmer,948500,12028,3,
2015,Altbauten (nicht umgebaut),3-Zimmer,803660,9788,3,
2015,Total,3-Zimmer,1123000,11228,3,
2015,Neubauten (0–1 Jahre),4-Zimmer,1350000,10471,4,
2015,2–9 Jahre,4-Zimmer,1394000,10480,4,
2015,10–19 Jahre,4-Zimmer,1688000,13143,4,
2015,Altbauten (umgebaut),4-Zimmer,2035000,13870,4,
2015,Altbauten (nicht umgebaut),4-Zimmer,1120000,9901,4,
2015,Total,4-Zimmer,1360000,10730,4,
2015,Neubauten (0–1 Jahre),5-Zimmer,1720000,11300,5,
2015,2–9 Jahre,5-Zimmer,2050000,10505,5,
2015,10–19 Jahre,5-Zimmer,1545000,9089,5,
2015,Altbauten (umgebaut),5-Zimmer,1915000,11748,5,
2015,Altbauten (nicht umgebaut),5-Zimmer,1390750,9939,5,
2015,Total,5-Zimmer,1695000,11167,5,
2015,Neubauten (0–1 Jahre),6-Zimmer und mehr,1990000,11847,6,
2015,2–9 Jahre,6-Zimmer und mehr,5300000,18728,6,
2015,10–19 Jahre,6-Zimmer und mehr,2150000,12011,6,
2015,Altbauten (nicht umgebaut),6-Zimmer und mehr,2224720,15093,6,
2015,Total,6-Zimmer und mehr,2150000,13926,6,
2016,Neubauten (0–1 Jahre),1-Zimmer,930000,11923,1,
2016,2–9 Jahre,1-Zimmer,920000,18754,1,
2016,10–19 Jahre,1-Zimmer,1365000,13206,1,
2016,Altbauten (umgebaut),1-Zimmer,880000,13971,1,
2016,Altbauten (nicht umgebaut),1-Zimmer,239880,7931,1,
2016,Total,1-Zimmer,660500,11923,1,
2016,Neubauten (0–1 Jahre),2-Zimmer,917500,11983,2,
2016,2–9 Jahre,2-Zimmer,1540000,15467,2,
2016,10–19 Jahre,2-Zimmer,862500,17250,2,
2016,Altbauten (umgebaut),2-Zimmer,810000,13429,2,
2016,Altbauten (nicht umgebaut),2-Zimmer,590000,10624,2,
2016,Total,2-Zimmer,827500,12208,2,
2016,Neubauten (0–1 Jahre),3-Zimmer,1095000,10288,3,
2016,2–9 Jahre,3-Zimmer,1390000,11880,3,
2016,10–19 Jahre,3-Zimmer,1310000,14929,3,
2016,Altbauten (umgebaut),3-Zimmer,1700000,15724,3,
2016,Altbauten (nicht umgebaut),3-Zimmer,751940,9800,3,
2016,Total,3-Zimmer,1045000,10488,3,
2016,Neubauten (0–1 Jahre),4-Zimmer,1400000,10462,4,
2016,2–9 Jahre,4-Zimmer,1590000,11682,4,
2016,10–19 Jahre,4-Zimmer,1510000,13285,4,
2016,Altbauten (umgebaut),4-Zimmer,2148000,13942,4,
2016,Altbauten (nicht umgebaut),4-Zimmer,1016500,9884,4,
2016,Total,4-Zimmer,1365000,10792,4,
